name,number,arcana,suit,source_id,source_dataset,source_url,license
The Fool,0,Major Arcana,,S01,metabismuth/tarot-json tarot.json,https://raw.githubusercontent.com/metabismuth/tarot-json/refs/heads/master/tarot.json,MIT for project metadata; RWS deck public domain in US per repo README
The Magician,1,Major Arcana,,S01,metabismuth/tarot-json tarot.json,https://raw.githubusercontent.com/metabismuth/tarot-json/refs/heads/master/tarot.json,MIT for project metadata; RWS deck public domain in US per repo README
The High Priestess,2,Major Arcana,,S01,metabismuth/tarot-json tarot.json,https://raw.githubusercontent.com/metabismuth/tarot-json/refs/heads/master/tarot.json,MIT for project metadata; RWS deck public domain in US per repo README
The Empress,3,Major Arcana,,S01,metabismuth/tarot-json tarot.json,https://raw.githubusercontent.com/metabismuth/tarot-json/refs/heads/master/tarot.json,MIT for project metadata; RWS deck public domain in US per repo README
The Emperor,4,Major Arcana,,S01,metabismuth/tarot-json tarot.json,https://raw.githubusercontent.com/metabismuth/tarot-json/refs/heads/master/tarot.json,MIT for project metadata; RWS deck public domain in US per repo README
The Hierophant,5,Major Arcana,,S01,metabismuth/tarot-json tarot.json,https://raw.githubusercontent.com/metabismuth/tarot-json/refs/heads/master/tarot.json,MIT for project metadata; RWS deck public domain in US per repo README
The Lovers,6,Major Arcana,,S01,metabismuth/tarot-json tarot.json,https://raw.githubusercontent.com/metabismuth/tarot-json/refs/heads/master/tarot.json,MIT for project metadata; RWS deck public domain in US per repo README
The Chariot,7,Major Arcana,,S01,metabismuth/tarot-json tarot.json,https://raw.githubusercontent.com/metabismuth/tarot-json/refs/heads/master/tarot.json,MIT for project metadata; RWS deck public domain in US per repo README
Strength,8,Major Arcana,,S01,metabismuth/tarot-json tarot.json,https://raw.githubusercontent.com/metabismuth/tarot-json/refs/heads/master/tarot.json,MIT for project metadata; RWS deck public domain in US per repo README
The Hermit,9,Major Arcana,,S01,metabismuth/tarot-json tarot.json,https://raw.githubusercontent.com/metabismuth/tarot-json/refs/heads/master/tarot.json,MIT for project metadata; RWS deck public domain in US per repo README
Wheel of Fortune,10,Major Arcana,,S01,metabismuth/tarot-json tarot.json,https://raw.githubusercontent.com/metabismuth/tarot-json/refs/heads/master/tarot.json,MIT for project metadata; RWS deck public domain in US per repo README
Justice,11,Major Arcana,,S01,metabismuth/tarot-json tarot.json,https://raw.githubusercontent.com/metabismuth/tarot-json/refs/heads/master/tarot.json,MIT for project metadata; RWS deck public domain in US per repo README
The Hanged Man,12,Major Arcana,,S01,metabismuth/tarot-json tarot.json,https://raw.githubusercontent.com/metabismuth/tarot-json/refs/heads/master/tarot.json,MIT for project metadata; RWS deck public domain in US per repo README
Death,13,Major Arcana,,S01,metabismuth/tarot-json tarot.json,https://raw.githubusercontent.com/metabismuth/tarot-json/refs/heads/master/tarot.json,MIT for project metadata; RWS deck public domain in US per repo README
